product_id,title,handle,error,timestampgid://shopify/Product/9230808678628,Sapphire PBS26SCH6173 Pre Fall Collection RTW 2026,sapphire-pbs26sch6173-pre-fall-collection-rtw-2026,Product has no images to analyze.,2026-09-20T17:27:25.353Z
gid://shopify/Product/9230808678628,Sapphire PBS26SCH6173 Pre Fall Collection RTW 2026,sapphire-pbs26sch6173-pre-fall-collection-rtw-2026,Product has no images to analyze.,2026-09-21T02:53:01.663Z
gid://shopify/Product/9162080256228,Sapphire DW9A30D488 Andaaz Embroidered Collection 2026,sapphire-dw9a30d488-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 48.671694195s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-3.5-flash-lite""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""48s""}]}}",2026-09-21T02:55:11.344Z
gid://shopify/Product/9162080223460,Sapphire DWBD77AD55 Andaaz Embroidered Collection 2026,sapphire-dwbd77ad55-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 43.814525995s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-3.5-flash-lite"",""location"":""global""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""43s""}]}}",2026-09-21T02:57:16.201Z
gid://shopify/Product/9162080125156,Sapphire DW3E296CDE Andaaz Embroidered Collection 2026,sapphire-dw3e296cde-andaaz-embroidered-collection-2026,Product has no images to analyze.,2026-09-21T02:58:16.244Z
gid://shopify/Product/9162079666404,Sapphire DWB5770C31 Andaaz Embroidered Collection 2026,sapphire-dwb5770c31-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 39.045262024s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-3.5-flash-lite""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""39s""}]}}",2026-09-21T03:00:20.970Z
gid://shopify/Product/9162079502564,Sapphire DW376CDAA7 Andaaz Embroidered Collection 2026,sapphire-dw376cdaa7-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 34.361762636s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-3.5-flash-lite""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""34s""}]}}",2026-09-21T03:02:25.654Z
gid://shopify/Product/9162079404260,Sapphire DWEE390257 Andaaz Embroidered Collection 2026,sapphire-dwee390257-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 29.625525001s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-3.5-flash-lite"",""location"":""global""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""29s""}]}}",2026-09-21T03:04:30.391Z
gid://shopify/Product/9162079273188,Sapphire DW4762A3CC Andaaz Embroidered Collection 2026,sapphire-dw4762a3cc-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 25.684843926s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""location"":""global"",""model"":""gemini-3.5-flash-lite""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""25s""}]}}",2026-09-21T03:06:34.331Z
gid://shopify/Product/9162079011044,Sapphire DWA3F2170B Andaaz Embroidered Collection 2026,sapphire-dwa3f2170b-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 20.783704457s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-3.5-flash-lite"",""location"":""global""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""20s""}]}}",2026-09-21T03:08:39.232Z
gid://shopify/Product/9162078912740,Sapphire DWA23DD292 Andaaz Embroidered Collection 2026,sapphire-dwa23dd292-andaaz-embroidered-collection-2026,"Gemini request failed (429): {""error"":{""code"":429,""message"":""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 500, model: gemini-3.5-flash-lite\nPlease retry in 15.479117021s."",""status"":""RESOURCE_EXHAUSTED"",""details"":[{""@type"":""type.googleapis.com/google.rpc.Help"",""links"":[{""description"":""Learn more about Gemini API quotas"",""url"":""https://ai.google.dev/gemini-api/docs/rate-limits""}]},{""@type"":""type.googleapis.com/google.rpc.QuotaFailure"",""violations"":[{""quotaMetric"":""generativelanguage.googleapis.com/generate_content_free_tier_requests"",""quotaId"":""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",""quotaDimensions"":{""model"":""gemini-3.5-flash-lite"",""location"":""global""},""quotaValue"":""500""}]},{""@type"":""type.googleapis.com/google.rpc.RetryInfo"",""retryDelay"":""15s""}]}}",2026-09-21T03:10:44.537Z
